cod_depto,nombre_depto,cobertura_ha,perdida_ha,ganancia_ha,neta_ha,anio
01,San Salvador,8200,180,50,-130,2020
01,San Salvador,8070,170,40,-130,2021
01,San Salvador,7940,160,30,-130,2022
02,Santa Ana,41000,850,200,-650,2020
02,Santa Ana,40350,800,180,-620,2021
02,Santa Ana,39730,780,150,-630,2022
03,La Union,36000,720,300,-420,2020
03,La Union,35580,680,280,-400,2021
03,La Union,35180,650,260,-390,2022
04,San Miguel,52000,1200,400,-800,2020
04,San Miguel,51200,1150,380,-770,2021
04,San Miguel,50430,1100,350,-750,2022
05,Usulutan,38000,950,350,-600,2020
05,Usulutan,37400,900,320,-580,2021
05,Usulutan,36820,870,300,-570,2022
06,Sonsonate,26000,580,220,-360,2020
06,Sonsonate,25640,550,200,-350,2021
06,Sonsonate,25290,530,180,-350,2022
07,Ahuachapan,21000,480,180,-300,2020
07,Ahuachapan,20700,460,170,-290,2021
07,Ahuachapan,20410,440,160,-280,2022
08,La Libertad,31000,680,250,-430,2020
08,La Libertad,30570,650,230,-420,2021
08,La Libertad,30150,630,210,-420,2022
09,Chalatenango,42000,520,400,-120,2020
09,Chalatenango,41880,500,380,-120,2021
09,Chalatenango,41760,480,360,-120,2022
10,Cabañas,31000,450,350,-100,2020
10,Cabañas,30900,440,340,-100,2021
10,Cabañas,30800,430,330,-100,2022
11,La Paz,16000,380,150,-230,2020
11,La Paz,15770,370,140,-230,2021
11,La Paz,15540,360,130,-230,2022
12,San Vicente,19000,420,180,-240,2020
12,San Vicente,18760,410,170,-240,2021
12,San Vicente,18520,400,160,-240,2022
13,Cuscatlan,13000,300,120,-180,2020
13,Cuscatlan,12820,290,110,-180,2021
13,Cuscatlan,12640,280,100,-180,2022
14,Morazan,46000,580,450,-130,2020
14,Morazan,45870,560,430,-130,2021
14,Morazan,45740,550,420,-130,2022
